"ActivityID"	"Activity"	"SubjectID"	"Variable"	"STATS"	"Mode"	"AccelerationSignal"	"Type"	"AxialSignal"	"SignalDerivedTime"	"count"	"mean"
1	"WALKING"	1	"fBodyAccJerk-meanFreq()-Z"	"MeanFreq"	"FastFurier"	"Body"	"Acceleration"	"Z"	"Jerk"	95	-0.185530281244211
1	"WALKING"	1	"fBodyGyro-mean()-X"	"Mean"	"FastFurier"	"Body"	"Gyroscope"	"X"	NA	95	-0.339032197115789
1	"WALKING"	1	"fBodyGyro-mean()-Y"	"Mean"	"FastFurier"	"Body"	"Gyroscope"	"Y"	NA	95	-0.103059416434737
1	"WALKING"	1	"fBodyGyro-mean()-Z"	"Mean"	"FastFurier"	"Body"	"Gyroscope"	"Z"	NA	95	-0.255940940315789
1	"WALKING"	1	"fBodyGyro-meanFreq()-X"	"MeanFreq"	"FastFurier"	"Body"	"Gyroscope"	"X"	NA	95	0.0147844986621053
1	"WALKING"	1	"fBodyGyro-meanFreq()-Y"	"MeanFreq"	"FastFurier"	"Body"	"Gyroscope"	"Y"	NA	95	-0.0657746190010526
1	"WALKING"	1	"fBodyGyro-meanFreq()-Z"	"MeanFreq"	"FastFurier"	"Body"	"Gyroscope"	"Z"	NA	95	0.00077332156431579
1	"WALKING"	1	"fBodyAccMag-mean()"	"Mean"	"FastFurier"	"Body"	"Acceleration"	NA	"Magnitude"	95	-0.128623450629474
1	"WALKING"	1	"fBodyAccMag-meanFreq()"	"MeanFreq"	"FastFurier"	"Body"	"Acceleration"	NA	"Magnitude"	95	0.1906437244
1	"WALKING"	1	"fBodyBodyAccJerkMag-mean()"	"Mean"	"FastFurier"	"Body"	"Acceleration"	NA	"JerkMagnitude"	95	-0.0571194000343158
1	"WALKING"	1	"fBodyBodyAccJerkMag-meanFreq()"	"MeanFreq"	"FastFurier"	"Body"	"Acceleration"	NA	"JerkMagnitude"	95	0.0938221807027368
1	"WALKING"	1	"fBodyBodyGyroMag-mean()"	"Mean"	"FastFurier"	"Body"	"Gyroscope"	NA	"Magnitude"	95	-0.199252568986316
1	"WALKING"	1	"fBodyBodyGyroMag-meanFreq()"	"MeanFreq"	"FastFurier"	"Body"	"Gyroscope"	NA	"Magnitude"	95	0.268844367525895
1	"WALKING"	1	"fBodyBodyGyroJerkMag-mean()"	"Mean"	"FastFurier"	"Body"	"Gyroscope"	NA	"JerkMagnitude"	95	-0.319308593778947
1	"WALKING"	1	"fBodyBodyGyroJerkMag-meanFreq()"	"MeanFreq"	"FastFurier"	"Body"	"Gyroscope"	NA	"JerkMagnitude"	95	0.190663448793684
1	"WALKING"	1	"tBodyAcc-std()-X"	"STD"	"Time"	"Body"	"Acceleration"	"X"	NA	95	-0.283740258842105
1	"WALKING"	1	"tBodyAcc-std()-Y"	"STD"	"Time"	"Body"	"Acceleration"	"Y"	NA	95	0.114461336747368
1	"WALKING"	1	"tBodyAcc-std()-Z"	"STD"	"Time"	"Body"	"Acceleration"	"Z"	NA	95	-0.260027902210526
1	"WALKING"	1	"tGravityAcc-std()-X"	"STD"	"Time"	"Gravity"	"Acceleration"	"X"	NA	95	-0.976609642526316
1	"WALKING"	1	"tGravityAcc-std()-Y"	"STD"	"Time"	"Gravity"	"Acceleration"	"Y"	NA	95	-0.971305961473684
1	"WALKING"	1	"tGravityAcc-std()-Z"	"STD"	"Time"	"Gravity"	"Acceleration"	"Z"	NA	95	-0.947717226105263
1	"WALKING"	1	"tBodyAccJerk-std()-X"	"STD"	"Time"	"Body"	"Acceleration"	"X"	"Jerk"	95	-0.113615602435789
1	"WALKING"	1	"tBodyAccJerk-std()-Y"	"STD"	"Time"	"Body"	"Acceleration"	"Y"	"Jerk"	95	0.0670025007684211
1	"WALKING"	1	"tBodyAccJerk-std()-Z"	"STD"	"Time"	"Body"	"Acceleration"	"Z"	"Jerk"	95	-0.502699788526316
1	"WALKING"	1	"tBodyGyro-std()-X"	"STD"	"Time"	"Body"	"Gyroscope"	"X"	NA	95	-0.473535485894737
1	"WALKING"	1	"tBodyGyro-std()-Y"	"STD"	"Time"	"Body"	"Gyroscope"	"Y"	NA	95	-0.0546077686594737
1	"WALKING"	1	"tBodyGyro-std()-Z"	"STD"	"Time"	"Body"	"Gyroscope"	"Z"	NA	95	-0.344266629473684
1	"WALKING"	1	"tBodyGyroJerk-std()-X"	"STD"	"Time"	"Body"	"Gyroscope"	"X"	"Jerk"	95	-0.207421854757895
1	"WALKING"	1	"tBodyGyroJerk-std()-Y"	"STD"	"Time"	"Body"	"Gyroscope"	"Y"	"Jerk"	95	-0.304468510631579
1	"WALKING"	1	"tBodyGyroJerk-std()-Z"	"STD"	"Time"	"Body"	"Gyroscope"	"Z"	"Jerk"	95	-0.404255452631579
1	"WALKING"	1	"tBodyAccMag-std()"	"STD"	"Time"	"Body"	"Acceleration"	NA	"Magnitude"	95	-0.219688645631579
1	"WALKING"	1	"tGravityAccMag-std()"	"STD"	"Time"	"Gravity"	"Acceleration"	NA	"Magnitude"	95	-0.219688645631579
1	"WALKING"	1	"tBodyAccJerkMag-std()"	"STD"	"Time"	"Body"	"Acceleration"	NA	"JerkMagnitude"	95	-0.0744717500625263
1	"WALKING"	1	"tBodyGyroMag-std()"	"STD"	"Time"	"Body"	"Gyroscope"	NA	"Magnitude"	95	-0.186978364526316
1	"WALKING"	1	"tBodyGyroJerkMag-std()"	"STD"	"Time"	"Body"	"Gyroscope"	NA	"JerkMagnitude"	95	-0.325324878894737
1	"WALKING"	1	"fBodyAcc-std()-X"	"STD"	"FastFurier"	"Body"	"Acceleration"	"X"	NA	95	-0.319134719578947
1	"WALKING"	1	"fBodyAcc-std()-Y"	"STD"	"FastFurier"	"Body"	"Acceleration"	"Y"	NA	95	0.056040006846
1	"WALKING"	1	"fBodyAcc-std()-Z"	"STD"	"FastFurier"	"Body"	"Acceleration"	"Z"	NA	95	-0.279686751494737
1	"WALKING"	1	"fBodyAccJerk-std()-X"	"STD"	"FastFurier"	"Body"	"Acceleration"	"X"	"Jerk"	95	-0.133586606326316
1	"WALKING"	1	"fBodyAccJerk-std()-Y"	"STD"	"FastFurier"	"Body"	"Acceleration"	"Y"	"Jerk"	95	0.106739857136
1	"WALKING"	1	"fBodyAccJerk-std()-Z"	"STD"	"FastFurier"	"Body"	"Acceleration"	"Z"	"Jerk"	95	-0.534713440421053
1	"WALKING"	1	"fBodyGyro-std()-X"	"STD"	"FastFurier"	"Body"	"Gyroscope"	"X"	NA	95	-0.516691938736842
1	"WALKING"	1	"fBodyGyro-std()-Y"	"STD"	"FastFurier"	"Body"	"Gyroscope"	"Y"	NA	95	-0.0335081597884211
1	"WALKING"	1	"fBodyGyro-std()-Z"	"STD"	"FastFurier"	"Body"	"Gyroscope"	"Z"	NA	95	-0.436562227473684
1	"WALKING"	1	"fBodyAccMag-std()"	"STD"	"FastFurier"	"Body"	"Acceleration"	NA	"Magnitude"	95	-0.398032586842105
1	"WALKING"	1	"fBodyBodyAccJerkMag-std()"	"STD"	"FastFurier"	"Body"	"Acceleration"	NA	"JerkMagnitude"	95	-0.103492403002105
1	"WALKING"	1	"fBodyBodyGyroMag-std()"	"STD"	"FastFurier"	"Body"	"Gyroscope"	NA	"Magnitude"	95	-0.321017953894737
1	"WALKING"	1	"fBodyBodyGyroJerkMag-std()"	"STD"	"FastFurier"	"Body"	"Gyroscope"	NA	"JerkMagnitude"	95	-0.381601911789474
1	"WALKING"	2	"tBodyAcc-mean()-X"	"Mean"	"Time"	"Body"	"Acceleration"	"X"	NA	59	0.276426586440678
1	"WALKING"	2	"tBodyAcc-mean()-Y"	"Mean"	"Time"	"Body"	"Acceleration"	"Y"	NA	59	-0.0185949199145763
1	"WALKING"	2	"tBodyAcc-mean()-Z"	"Mean"	"Time"	"Body"	"Acceleration"	"Z"	NA	59	-0.105500357966102
1	"WALKING"	2	"tGravityAcc-mean()-X"	"Mean"	"Time"	"Gravity"	"Acceleration"	"X"	NA	59	0.91301733338983
1	"WALKING"	2	"tGravityAcc-mean()-Y"	"Mean"	"Time"	"Gravity"	"Acceleration"	"Y"	NA	59	-0.34660709
1	"WALKING"	2	"tGravityAcc-mean()-Z"	"Mean"	"Time"	"Gravity"	"Acceleration"	"Z"	NA	59	0.0847270871186441
1	"WALKING"	2	"tBodyAccJerk-mean()-X"	"Mean"	"Time"	"Body"	"Acceleration"	"X"	"Jerk"	59	0.0618080696279661
1	"WALKING"	2	"tBodyAccJerk-mean()-Y"	"Mean"	"Time"	"Body"	"Acceleration"	"Y"	"Jerk"	59	0.0182492679288136
1	"WALKING"	2	"tBodyAccJerk-mean()-Z"	"Mean"	"Time"	"Body"	"Acceleration"	"Z"	"Jerk"	59	0.00789533706610169
1	"WALKING"	2	"tBodyGyro-mean()-X"	"Mean"	"Time"	"Body"	"Gyroscope"	"X"	NA	59	-0.0530258157347458
1	"WALKING"	2	"tBodyGyro-mean()-Y"	"Mean"	"Time"	"Body"	"Gyroscope"	"Y"	NA	59	-0.0482382316949153
1	"WALKING"	2	"tBodyGyro-mean()-Z"	"Mean"	"Time"	"Body"	"Gyroscope"	"Z"	NA	59	0.0828336633220339
1	"WALKING"	2	"tBodyGyroJerk-mean()-X"	"Mean"	"Time"	"Body"	"Gyroscope"	"X"	"Jerk"	59	-0.0818833429152542
1	"WALKING"	2	"tBodyGyroJerk-mean()-Y"	"Mean"	"Time"	"Body"	"Gyroscope"	"Y"	"Jerk"	59	-0.0538299449067797
1	"WALKING"	2	"tBodyGyroJerk-mean()-Z"	"Mean"	"Time"	"Body"	"Gyroscope"	"Z"	"Jerk"	59	-0.0514939156830508
1	"WALKING"	2	"tBodyAccMag-mean()"	"Mean"	"Time"	"Body"	"Acceleration"	NA	"Magnitude"	59	-0.290407593728814
1	"WALKING"	2	"tGravityAccMag-mean()"	"Mean"	"Time"	"Gravity"	"Acceleration"	NA	"Magnitude"	59	-0.290407593728814
1	"WALKING"	2	"tBodyAccJerkMag-mean()"	"Mean"	"Time"	"Body"	"Acceleration"	NA	"JerkMagnitude"	59	-0.281424153881356
1	"WALKING"	2	"tBodyGyroMag-mean()"	"Mean"	"Time"	"Body"	"Gyroscope"	NA	"Magnitude"	59	-0.446549092881356
1	"WALKING"	2	"tBodyGyroJerkMag-mean()"	"Mean"	"Time"	"Body"	"Gyroscope"	NA	"JerkMagnitude"	59	-0.547911950338983
1	"WALKING"	2	"fBodyAcc-mean()-X"	"Mean"	"FastFurier"	"Body"	"Acceleration"	"X"	NA	59	-0.346048161016949
1	"WALKING"	2	"fBodyAcc-mean()-Y"	"Mean"	"FastFurier"	"Body"	"Acceleration"	"Y"	NA	59	-0.0219048103322034
1	"WALKING"	2	"fBodyAcc-mean()-Z"	"Mean"	"FastFurier"	"Body"	"Acceleration"	"Z"	NA	59	-0.453806369830508
1	"WALKING"	2	"fBodyAcc-meanFreq()-X"	"MeanFreq"	"FastFurier"	"Body"	"Acceleration"	"X"	NA	59	-0.14579548970339
1	"WALKING"	2	"fBodyAcc-meanFreq()-Y"	"MeanFreq"	"FastFurier"	"Body"	"Acceleration"	"Y"	NA	59	0.198586466508475
1	"WALKING"	2	"fBodyAcc-meanFreq()-Z"	"MeanFreq"	"FastFurier"	"Body"	"Acceleration"	"Z"	NA	59	0.0688995208186441
1	"WALKING"	2	"fBodyAccJerk-mean()-X"	"Mean"	"FastFurier"	"Body"	"Acceleration"	"X"	"Jerk"	59	-0.304615322881356
1	"WALKING"	2	"fBodyAccJerk-mean()-Y"	"Mean"	"FastFurier"	"Body"	"Acceleration"	"Y"	"Jerk"	59	-0.0787640836610169
1	"WALKING"	2	"fBodyAccJerk-mean()-Z"	"Mean"	"FastFurier"	"Body"	"Acceleration"	"Z"	"Jerk"	59	-0.554956709661017
1	"WALKING"	2	"fBodyAccJerk-meanFreq()-X"	"MeanFreq"	"FastFurier"	"Body"	"Acceleration"	"X"	"Jerk"	59	-0.0727101584479661
1	"WALKING"	2	"fBodyAccJerk-meanFreq()-Y"	"MeanFreq"	"FastFurier"	"Body"	"Acceleration"	"Y"	"Jerk"	59	-0.263574018186441
1	"WALKING"	2	"fBodyAccJerk-meanFreq()-Z"	"MeanFreq"	"FastFurier"	"Body"	"Acceleration"	"Z"	"Jerk"	59	-0.254846438755932
1	"WALKING"	2	"fBodyGyro-mean()-X"	"Mean"	"FastFurier"	"Body"	"Gyroscope"	"X"	NA	59	-0.429713536101695
1	"WALKING"	2	"fBodyGyro-mean()-Y"	"Mean"	"FastFurier"	"Body"	"Gyroscope"	"Y"	NA	59	-0.55477211220339
1	"WALKING"	2	"fBodyGyro-mean()-Z"	"Mean"	"FastFurier"	"Body"	"Gyroscope"	"Z"	NA	59	-0.396659907457627
1	"WALKING"	2	"fBodyGyro-meanFreq()-X"	"MeanFreq"	"FastFurier"	"Body"	"Gyroscope"	"X"	NA	59	0.00727967988474576
1	"WALKING"	2	"fBodyGyro-meanFreq()-Y"	"MeanFreq"	"FastFurier"	"Body"	"Gyroscope"	"Y"	NA	59	-0.0427009322372881
1	"WALKING"	2	"fBodyGyro-meanFreq()-Z"	"MeanFreq"	"FastFurier"	"Body"	"Gyroscope"	"Z"	NA	59	0.139752115269492
1	"WALKING"	2	"fBodyAccMag-mean()"	"Mean"	"FastFurier"	"Body"	"Acceleration"	NA	"Magnitude"	59	-0.324289427932203
1	"WALKING"	2	"fBodyAccMag-meanFreq()"	"MeanFreq"	"FastFurier"	"Body"	"Acceleration"	NA	"Magnitude"	59	0.393206208305085
1	"WALKING"	2	"fBodyBodyAccJerkMag-mean()"	"Mean"	"FastFurier"	"Body"	"Acceleration"	NA	"JerkMagnitude"	59	-0.169064352813559
1	"WALKING"	2	"fBodyBodyAccJerkMag-meanFreq()"	"MeanFreq"	"FastFurier"	"Body"	"Acceleration"	NA	"JerkMagnitude"	59	0.20750092670339
1	"WALKING"	2	"fBodyBodyGyroMag-mean()"	"Mean"	"FastFurier"	"Body"	"Gyroscope"	NA	"Magnitude"	59	-0.530704814745763
1	"WALKING"	2	"fBodyBodyGyroMag-meanFreq()"	"MeanFreq"	"FastFurier"	"Body"	"Gyroscope"	NA	"Magnitude"	59	0.305283825254237
1	"WALKING"	2	"fBodyBodyGyroJerkMag-mean()"	"Mean"	"FastFurier"	"Body"	"Gyroscope"	NA	"JerkMagnitude"	59	-0.583249293389831
1	"WALKING"	2	"fBodyBodyGyroJerkMag-meanFreq()"	"MeanFreq"	"FastFurier"	"Body"	"Gyroscope"	NA	"JerkMagnitude"	59	0.126344614439492
1	"WALKING"	2	"tBodyAcc-std()-X"	"STD"	"Time"	"Body"	"Acceleration"	"X"	NA	59	-0.423642838474576
1	"WALKING"	2	"tBodyAcc-std()-Y"	"STD"	"Time"	"Body"	"Acceleration"	"Y"	NA	59	-0.0780912533118644
1	"WALKING"	2	"tBodyAcc-std()-Z"	"STD"	"Time"	"Body"	"Acceleration"	"Z"	NA	59	-0.425257524915254
1	"WALKING"	2	"tGravityAcc-std()-X"	"STD"	"Time"	"Gravity"	"Acceleration"	"X"	NA	59	-0.972693201355932
1	"WALKING"	2	"tGravityAcc-std()-Y"	"STD"	"Time"	"Gravity"	"Acceleration"	"Y"	NA	59	-0.972116879661017
1	"WALKING"	2	"tGravityAcc-std()-Z"	"STD"	"Time"	"Gravity"	"Acceleration"	"Z"	NA	59	-0.972072847627119
1	"WALKING"	2	"tBodyAccJerk-std()-X"	"STD"	"Time"	"Body"	"Acceleration"	"X"	"Jerk"	59	-0.277530462620339
1	"WALKING"	2	"tBodyAccJerk-std()-Y"	"STD"	"Time"	"Body"	"Acceleration"	"Y"	"Jerk"	59	-0.0166022362847458
1	"WALKING"	2	"tBodyAccJerk-std()-Z"	"STD"	"Time"	"Body"	"Acceleration"	"Z"	"Jerk"	59	-0.586090418983051
1	"WALKING"	2	"tBodyGyro-std()-X"	"STD"	"Time"	"Body"	"Gyroscope"	"X"	NA	59	-0.561550255762712
1	"WALKING"	2	"tBodyGyro-std()-Y"	"STD"	"Time"	"Body"	"Gyroscope"	"Y"	NA	59	-0.53845366779661
1	"WALKING"	2	"tBodyGyro-std()-Z"	"STD"	"Time"	"Body"	"Gyroscope"	"Z"	NA	59	-0.481085535084746
1	"WALKING"	2	"tBodyGyroJerk-std()-X"	"STD"	"Time"	"Body"	"Gyroscope"	"X"	"Jerk"	59	-0.389549831525424
1	"WALKING"	2	"tBodyGyroJerk-std()-Y"	"STD"	"Time"	"Body"	"Gyroscope"	"Y"	"Jerk"	59	-0.634140436101695
1	"WALKING"	2	"tBodyGyroJerk-std()-Z"	"STD"	"Time"	"Body"	"Gyroscope"	"Z"	"Jerk"	59	-0.435492677288136
1	"WALKING"	2	"tBodyAccMag-std()"	"STD"	"Time"	"Body"	"Acceleration"	NA	"Magnitude"	59	-0.422544169322034
1	"WALKING"	2	"tGravityAccMag-std()"	"STD"	"Time"	"Gravity"	"Acceleration"	NA	"Magnitude"	59	-0.422544169322034
1	"WALKING"	2	"tBodyAccJerkMag-std()"	"STD"	"Time"	"Body"	"Acceleration"	NA	"JerkMagnitude"	59	-0.164150985127119
1	"WALKING"	2	"tBodyGyroMag-std()"	"STD"	"Time"	"Body"	"Gyroscope"	NA	"Magnitude"	59	-0.553019916271186
1	"WALKING"	2	"tBodyGyroJerkMag-std()"	"STD"	"Time"	"Body"	"Gyroscope"	NA	"JerkMagnitude"	59	-0.557798151355932
1	"WALKING"	2	"fBodyAcc-std()-X"	"STD"	"FastFurier"	"Body"	"Acceleration"	"X"	NA	59	-0.457651383728814
1	"WALKING"	2	"fBodyAcc-std()-Y"	"STD"	"FastFurier"	"Body"	"Acceleration"	"Y"	NA	59	-0.16921968620339
1	"WALKING"	2	"fBodyAcc-std()-Z"	"STD"	"FastFurier"	"Body"	"Acceleration"	"Z"	NA	59	-0.455222146440678
1	"WALKING"	2	"fBodyAccJerk-std()-X"	"STD"	"FastFurier"	"Body"	"Acceleration"	"X"	"Jerk"	59	-0.31431306340678
1	"WALKING"	2	"fBodyAccJerk-std()-Y"	"STD"	"FastFurier"	"Body"	"Acceleration"	"Y"	"Jerk"	59	-0.0153329520084746
1	"WALKING"	2	"fBodyAccJerk-std()-Z"	"STD"	"FastFurier"	"Body"	"Acceleration"	"Z"	"Jerk"	59	-0.615898188474576
1	"WALKING"	2	"fBodyGyro-std()-X"	"STD"	"FastFurier"	"Body"	"Gyroscope"	"X"	NA	59	-0.604053019152542
1	"WALKING"	2	"fBodyGyro-std()-Y"	"STD"	"FastFurier"	"Body"	"Gyroscope"	"Y"	NA	59	-0.533046952542373
1	"WALKING"	2	"fBodyGyro-std()-Z"	"STD"	"FastFurier"	"Body"	"Gyroscope"	"Z"	NA	59	-0.559856635084746
1	"WALKING"	2	"fBodyAccMag-std()"	"STD"	"FastFurier"	"Body"	"Acceleration"	NA	"Magnitude"	59	-0.577105211694915
1	"WALKING"	2	"fBodyBodyAccJerkMag-std()"	"STD"	"FastFurier"	"Body"	"Acceleration"	NA	"JerkMagnitude"	59	-0.164091969449153
1	"WALKING"	2	"fBodyBodyGyroMag-std()"	"STD"	"FastFurier"	"Body"	"Gyroscope"	NA	"Magnitude"	59	-0.651792839661017
1	"WALKING"	2	"fBodyBodyGyroJerkMag-std()"	"STD"	"FastFurier"	"Body"	"Gyroscope"	NA	"JerkMagnitude"	59	-0.558104554745763
1	"WALKING"	3	"tBodyAcc-mean()-X"	"Mean"	"Time"	"Body"	"Acceleration"	"X"	NA	58	0.275567462068966
1	"WALKING"	3	"tBodyAcc-mean()-Y"	"Mean"	"Time"	"Body"	"Acceleration"	"Y"	NA	58	-0.0171767844203448
1	"WALKING"	3	"tBodyAcc-mean()-Z"	"Mean"	"Time"	"Body"	"Acceleration"	"Z"	NA	58	-0.112674859827586
1	"WALKING"	3	"tGravityAcc-mean()-X"	"Mean"	"Time"	"Gravity"	"Acceleration"	"X"	NA	58	0.936506743275862
1	"WALKING"	3	"tGravityAcc-mean()-Y"	"Mean"	"Time"	"Gravity"	"Acceleration"	"Y"	NA	58	-0.261986357931034
1	"WALKING"	3	"tGravityAcc-mean()-Z"	"Mean"	"Time"	"Gravity"	"Acceleration"	"Z"	NA	58	-0.138107866258621
1	"WALKING"	3	"tBodyAccJerk-mean()-X"	"Mean"	"Time"	"Body"	"Acceleration"	"X"	"Jerk"	58	0.0814745882660345
1	"WALKING"	3	"tBodyAccJerk-mean()-Y"	"Mean"	"Time"	"Body"	"Acceleration"	"Y"	"Jerk"	58	0.0100591485
1	"WALKING"	3	"tBodyAccJerk-mean()-Z"	"Mean"	"Time"	"Body"	"Acceleration"	"Z"	"Jerk"	58	-0.00562264594827586
1	"WALKING"	3	"tBodyGyro-mean()-X"	"Mean"	"Time"	"Body"	"Gyroscope"	"X"	NA	58	-0.0256405192517241
1	"WALKING"	3	"tBodyGyro-mean()-Y"	"Mean"	"Time"	"Body"	"Gyroscope"	"Y"	NA	58	-0.0779150937413793
1	"WALKING"	3	"tBodyGyro-mean()-Z"	"Mean"	"Time"	"Body"	"Gyroscope"	"Z"	NA	58	0.0813485942827586
1	"WALKING"	3	"tBodyGyroJerk-mean()-X"	"Mean"	"Time"	"Body"	"Gyroscope"	"X"	"Jerk"	58	-0.0952398165017241
1	"WALKING"	3	"tBodyGyroJerk-mean()-Y"	"Mean"	"Time"	"Body"	"Gyroscope"	"Y"	"Jerk"	58	-0.0387874651724138
1	"WALKING"	3	"tBodyGyroJerk-mean()-Z"	"Mean"	"Time"	"Body"	"Gyroscope"	"Z"	"Jerk"	58	-0.0503616100815517
1	"WALKING"	3	"tBodyAccMag-mean()"	"Mean"	"Time"	"Body"	"Acceleration"	NA	"Magnitude"	58	-0.254690333275862
1	"WALKING"	3	"tGravityAccMag-mean()"	"Mean"	"Time"	"Gravity"	"Acceleration"	NA	"Magnitude"	58	-0.254690333275862
1	"WALKING"	3	"tBodyAccJerkMag-mean()"	"Mean"	"Time"	"Body"	"Acceleration"	NA	"JerkMagnitude"	58	-0.280009317413793
1	"WALKING"	3	"tBodyGyroMag-mean()"	"Mean"	"Time"	"Body"	"Gyroscope"	NA	"Magnitude"	58	-0.466411754137931
1	"WALKING"	3	"tBodyGyroJerkMag-mean()"	"Mean"	"Time"	"Body"	"Gyroscope"	NA	"JerkMagnitude"	58	-0.566135217931034
1	"WALKING"	3	"fBodyAcc-mean()-X"	"Mean"	"FastFurier"	"Body"	"Acceleration"	"X"	NA	58	-0.316614011689655
1	"WALKING"	3	"fBodyAcc-mean()-Y"	"Mean"	"FastFurier"	"Body"	"Acceleration"	"Y"	NA	58	-0.0813024353275862
1	"WALKING"	3	"fBodyAcc-mean()-Z"	"Mean"	"FastFurier"	"Body"	"Acceleration"	"Z"	NA	58	-0.412374074482759
1	"WALKING"	3	"fBodyAcc-meanFreq()-X"	"MeanFreq"	"FastFurier"	"Body"	"Acceleration"	"X"	NA	58	-0.246614196618966
